"time";"fahrgeschwindigkeit"
"2010-08-20T14:05:10";5.146
"2010-08-20T14:05:25";5.497999999999999
"2010-08-20T14:05:40";5.471
"2010-08-20T14:05:55";5.444
"2010-08-20T14:06:10";12.351999999999999
"2010-08-20T14:06:25";5.226999999999999
"2010-08-20T14:06:40";3.792
"2010-08-20T14:06:55";5.444
"2010-08-20T14:07:10";5.471
"2010-08-20T14:07:25";5.39
"2010-08-20T14:07:40";3.738
"2010-08-20T14:07:55";15.494
"2010-08-20T14:08:10";12.242999999999999
"2010-08-20T14:08:25";4.0360000000000005
"2010-08-20T14:08:40";5.282
"2010-08-20T14:08:55";5.335999999999999
"2010-08-20T14:09:10";5.579999999999999
"2010-08-20T14:09:25";5.497999999999999
"2010-08-20T14:09:40";5.5249999999999995
"2010-08-20T14:09:55";5.497999999999999
"2010-08-20T14:10:10";5.579999999999999
"2010-08-20T14:10:25";5.497999999999999
"2010-08-20T14:10:40";5.579999999999999
"2010-08-20T14:10:55";14.004
"2010-08-20T14:11:10";14.898
"2010-08-20T14:11:25";6.582
"2010-08-20T14:11:40";5.444
"2010-08-20T14:11:55";5.471
"2010-08-20T14:12:10";4.334
"2010-08-20T14:12:25";
"2010-08-20T14:12:40";
"2010-08-20T14:12:55";
"2010-08-20T14:13:10";10.915999999999999
"2010-08-20T14:13:25";6.446
"2010-08-20T14:13:40";13.571
"2010-08-20T14:13:55";14.978999999999997
"2010-08-20T14:14:10";15.195999999999998
"2010-08-20T14:14:25";14.546
"2010-08-20T14:14:40";11.891
"2010-08-20T14:14:55";4.93
"2010-08-20T14:15:10";5.173
"2010-08-20T14:15:25";5.606999999999999
"2010-08-20T14:15:40";5.497999999999999
"2010-08-20T14:15:55";5.39
"2010-08-20T14:16:10";5.471
"2010-08-20T14:16:25";5.444
"2010-08-20T14:16:40";5.5249999999999995
"2010-08-20T14:16:55";5.471
"2010-08-20T14:17:10";5.5249999999999995
"2010-08-20T14:17:25";5.497999999999999
"2010-08-20T14:17:40";4.523
"2010-08-20T14:32:53";6.202999999999999
"2010-08-20T14:33:08";6.473999999999999
"2010-08-20T14:33:23";6.555
"2010-08-20T14:33:38";5.851
"2010-08-20T14:33:53";5.795999999999999
"2010-08-20T14:34:08";5.877999999999999
"2010-08-20T14:34:23";6.528
"2010-08-20T14:34:38";6.960999999999999
"2010-08-20T14:34:53";6.662999999999999
"2010-08-20T14:35:08";6.799
"2010-08-20T14:35:23";6.88
"2010-08-20T14:35:38";7.042
"2010-08-20T14:35:53";6.257
"2010-08-20T14:36:08";14.978999999999997
"2010-08-20T14:36:23";12.514
"2010-08-20T14:36:38";5.986
"2010-08-20T14:36:53";6.148
"2010-08-20T14:37:08";6.148
"2010-08-20T14:37:23";6.202999999999999
"2010-08-20T14:37:38";6.582
"2010-08-20T14:37:53";6.446
"2010-08-20T14:38:08";6.528
